timestamp,drawn_number,black,red,white,total_bet_black,total_bet_black_robot,total_bet_red,total_bet_red_robot,total_bet_white,total_bet_white_robot,total,total_paid,profit,profit_%
18,10,1,0,0,16859,"1685,9",21706,"2170,6",27680,5536,"70101,5","30346,2","39755,3","0,5671105468"
19,10,1,0,0,38346,"3834,6",46812,"4681,2",19095,3819,"112768,8","69022,8",43746,"0,3879264477"
20,1,0,1,0,37370,3737,35797,"3579,7",19563,"3912,6","100046,7","64434,6","35612,1","0,3559547691"
21,2,0,1,0,44605,"4460,5",21235,"2123,5",45210,9042,117634,38223,79411,"0,6750684326"
22,5,0,1,0,36310,3631,13765,"1376,5",22173,"4434,6","77255,5",24777,"52478,5","0,67928497"
23,8,1,0,0,43972,"4397,2",48895,"4889,5",11715,2343,"113868,7","79149,6","34719,1","0,3049046841"
24,7,0,1,0,41691,"4169,1",26942,"2694,2",15145,3029,"90641,3","48495,6","42145,7","0,4649723691"
25,4,0,1,0,43428,"4342,8",49045,"4904,5",33580,6716,"135300,3",88281,"47019,3","0,3475180765"
26,5,0,1,0,40595,"4059,5",28253,"2825,3",47654,"9530,8","123386,8","50855,4","72531,4","0,5878375969"
27,11,1,0,0,17221,"1722,1",19852,"1985,2",30199,"6039,8","70979,3","30997,8","39981,5","0,5632839433"
28,10,1,0,0,48180,4818,48128,"4812,8",17301,"3460,2","123239,8",86724,"36515,8","0,2962987606"
29,4,0,1,0,20990,2099,27353,"2735,3",20887,"4177,4","74064,3","49235,4","24828,9","0,3352343842"
30,13,1,0,0,12265,"1226,5",22393,"2239,3",43881,"8776,2","82004,8",22077,"59927,8","0,7307840517"
31,11,1,0,0,12349,"1234,9",48653,"4865,3",29755,5951,"96857,2","22228,2",74629,"0,7705054451"
32,6,0,1,0,23519,"2351,9",16235,"1623,5",39317,"7863,4","83046,4",29223,"53823,4","0,6481123805"
33,2,0,1,0,41766,"4176,6",10436,"1043,6",30499,"6099,8","87921,2","18784,8","69136,4","0,7863450453"
34,5,0,1,0,15218,"1521,8",38627,"3862,7",22409,"4481,8","81638,5","69528,6","12109,9","0,1483356505"
35,11,1,0,0,12867,"1286,7",19635,"1963,5",43517,"8703,4","79269,2","23160,6","56108,6","0,7078234674"
36,6,0,1,0,37466,"3746,6",17745,"1774,5",28963,"5792,6","89695,1",31941,"57754,1","0,6438935906"
37,0,0,0,1,14959,"1495,9",32341,"3234,1",28248,"5649,6",80278,"316377,6","-236099,6","-2,941024938"
38,4,0,1,0,47852,"4785,2",21705,"2170,5",18981,"3796,2","95493,7",39069,"56424,7","0,5908735341"
39,2,0,1,0,31025,"3102,5",20919,"2091,9",46426,"9285,2","103564,4","37654,2","65910,2","0,6364175334"
40,3,0,1,0,44072,"4407,2",32965,"3296,5",17814,"3562,8","102554,7",59337,"43217,7","0,4214112079"
41,0,0,0,1,35981,"3598,1",14133,"1413,3",45862,"9172,4","100987,4","513654,4",-412667,"-4,08632166"
42,2,0,1,0,14481,"1448,1",42217,"4221,7",33195,6639,"95562,8","75990,6","19572,2","0,2048098214"
43,8,1,0,0,32109,"3210,9",33399,"3339,9",44406,"8881,2","116464,8","57796,2","58668,6","0,5037453376"
44,4,0,1,0,21325,"2132,5",42218,"4221,8",11217,"2243,4","81114,3","75992,4","5121,9","0,06314422981"
45,11,1,0,0,36766,"3676,6",27711,"2771,1",20059,"4011,8","90983,7","66178,8","24804,9","0,2726301524"
46,2,0,1,0,30352,"3035,2",48223,"4822,3",28453,"5690,6","114885,5","86801,4","28084,1","0,2444529553"
47,5,0,1,0,12695,"1269,5",33929,"3392,9",11865,2373,"63151,4","61072,2","2079,2","0,03292405236"
48,9,1,0,0,32229,"3222,9",24594,"2459,4",42090,8418,"104595,3","58012,2","46583,1","0,4453651359"
49,1,0,1,0,30088,"3008,8",16989,"1698,9",28824,"5764,8","80608,7","30580,2","50028,5","0,620634001"
50,12,1,0,0,48746,"4874,6",22343,"2234,3",43366,"8673,2","121563,9","87742,8","33821,1","0,2782166416"
51,0,0,0,1,44214,"4421,4",11024,"1102,4",27807,"5561,4","88568,8","311438,4","-222869,6","-2,516344356"
52,13,1,0,0,24126,"2412,6",36126,"3612,6",30509,"6101,8","96786,2","43426,8","53359,4","0,5513120672"
53,11,1,0,0,20768,"2076,8",27600,2760,39205,7841,"92409,8","37382,4","55027,4","0,595471476"
54,10,1,0,0,23121,"2312,1",28534,"2853,4",15160,3032,"71980,5","41617,8","30362,7","0,4218184092"
55,2,0,1,0,36684,"3668,4",17361,"1736,1",29294,"5858,8","88743,5","31249,8","57493,7","0,6478637872"
56,5,0,1,0,28123,"2812,3",21847,"2184,7",21090,4218,76057,"39324,6","36732,4","0,4829588335"
57,4,0,1,0,45865,"4586,5",27875,"2787,5",35108,"7021,6",116222,50175,66047,"0,5682831134"
58,7,0,1,0,12864,"1286,4",10978,"1097,8",36363,"7272,6","62589,2","19760,4","42828,8","0,6842841896"
59,13,1,0,0,22190,2219,30616,"3061,6",10753,"2150,6","68839,6",39942,"28897,6","0,4197816373"
60,2,0,1,0,16732,"1673,2",34915,"3491,5",11453,"2290,6","68264,7",62847,"5417,7","0,07936312618"
61,12,1,0,0,36233,"3623,3",36704,"3670,4",28895,5779,"109125,7","65219,4","43906,3","0,4023461018"
62,12,1,0,0,48139,"4813,9",36901,"3690,1",17900,3580,111444,"86650,2","24793,8","0,2224776569"
63,0,0,0,1,23629,"2362,9",22635,"2263,5",48571,"9714,2","99461,4","543995,2","-444533,8","-4,469410244"
64,8,1,0,0,25432,"2543,2",26078,"2607,8",17611,"3522,2",74272,"45777,6","28494,4","0,3836492891"
65,3,0,1,0,23461,"2346,1",27996,"2799,6",17183,"3436,6","73785,7","50392,8","23392,9","0,3170383963"
66,11,1,0,0,27517,"2751,7",35825,"3582,5",34930,6986,"104606,2","49530,6","55075,6","0,5265041651"
67,9,1,0,0,21533,"2153,3",46672,"4667,2",22646,"4529,2","97671,5","38759,4","58912,1","0,6031657136"
68,6,0,1,0,42583,"4258,3",48010,4801,45887,"9177,4","145539,3",86418,"59121,3","0,4062222369"
69,3,0,1,0,49050,4905,36781,"3678,1",19126,"3825,2","113540,1","66205,8","47334,3","0,4168950001"
70,0,0,0,1,31459,"3145,9",19648,"1964,8",26156,"5231,2","82373,7","292947,2","-210573,5","-2,556319553"
71,4,0,1,0,40191,"4019,1",23383,"2338,3",20093,"4018,6","90024,4","42089,4",47935,"0,5324667535"
72,14,1,0,0,22223,"2222,3",31603,"3160,3",16030,3206,"75238,6","40001,4","35237,2","0,4683393896"
73,9,1,0,0,46770,4677,48629,"4862,9",14528,"2905,6","119466,9",84186,"35280,9","0,2953194567"
74,8,1,0,0,35379,"3537,9",31134,"3113,4",42999,"8599,8","116163,3","63682,2","52481,1","0,4517872684"
75,11,1,0,0,24062,"2406,2",38525,"3852,5",20933,"4186,6","89778,7","43311,6","46467,1","0,5175737675"
76,3,0,1,0,15530,1553,35093,"3509,3",46490,9298,"102175,3","63167,4","39007,9","0,3817742644"
77,4,0,1,0,44537,"4453,7",11896,"1189,6",39519,"7903,8","101595,3","21412,8","80182,5","0,7892343445"
78,0,0,0,1,17962,"1796,2",22773,"2277,3",21960,4392,"66768,5",245952,"-179183,5","-2,68365322"
79,13,1,0,0,46439,"4643,9",38759,"3875,9",21679,"4335,8","115396,8","83590,2","31806,6","0,2756280937"
80,5,0,1,0,49266,"4926,6",41906,"4190,6",30300,6060,"130589,2","75430,8","55158,4","0,4223810239"
81,13,1,0,0,28691,"2869,1",31408,"3140,8",19094,"3818,8","85202,9","51643,8","33559,1","0,3938727438"
82,6,0,1,0,43548,"4354,8",33695,"3369,5",41636,"8327,2","126603,3",60651,"65952,3","0,520936658"
83,0,0,0,1,44519,"4451,9",26685,"2668,5",49862,"9972,4","128186,4","558454,4",-430268,"-3,356580729"
84,12,1,0,0,43351,"4335,1",29458,"2945,8",18895,3779,"98984,9","78031,8","20953,1","0,2116797613"
85,2,0,1,0,11462,"1146,2",42553,"4255,3",38704,"7740,8","98120,5","76595,4","21525,1","0,2193741369"
86,5,0,1,0,11809,"1180,9",49160,4916,25277,"5055,4","92342,9",88488,"3854,9","0,04174549424"
87,13,1,0,0,28574,"2857,4",12237,"1223,7",41097,"8219,4","85989,1","51433,2","34555,9","0,4018637246"
88,2,0,1,0,34705,"3470,5",28612,"2861,2",31138,"6227,6","100786,7","51501,6","49285,1","0,4890040055"
89,2,0,1,0,41468,"4146,8",26339,"2633,9",41148,"8229,6","115735,7","47410,2","68325,5","0,5903580313"
90,9,1,0,0,13633,"1363,3",35381,"3538,1",20458,"4091,6","74373,4","24539,4",49834,"0,6700513893"
91,14,1,0,0,47578,"4757,8",34756,"3475,6",49953,"9990,6","140520,4","85640,4",54880,"0,3905482763"
92,12,1,0,0,20818,"2081,8",42341,"4234,1",36179,"7235,8","105653,9","37472,4","68181,5","0,6453287574"
93,2,0,1,0,17473,"1747,3",28864,"2886,4",20410,4082,"71380,7","51955,2","19425,5","0,2721393878"
94,14,1,0,0,49010,4901,41807,"4180,7",49307,"9861,4","149205,7",88218,"60987,7","0,4087491296"
95,10,1,0,0,29649,"2964,9",48561,"4856,1",26904,"5380,8",112935,"53368,2","59566,8","0,5274432196"
96,10,1,0,0,14022,"1402,2",32154,"3215,4",21296,"4259,2","72089,6","25239,6",46850,"0,6498856978"
97,8,1,0,0,47229,"4722,9",12674,"1267,4",30647,"6129,4","96540,3","85012,2","11528,1","0,1194123076"
98,12,1,0,0,10901,"1090,1",33667,"3366,7",35935,7187,"84959,8","19621,8",65338,"0,7690460665"
99,9,1,0,0,32928,"3292,8",44574,"4457,4",15862,"3172,4","101114,2","59270,4","41843,8","0,413827138"
100,14,1,0,0,46266,"4626,6",32138,"3213,8",49637,"9927,4","135881,4","83278,8","52602,6","0,3871214162"
101,6,0,1,0,16049,"1604,9",12933,"1293,3",16413,"3282,6","48293,2","23279,4","25013,8","0,5179569795"
102,0,0,0,1,38502,"3850,2",19496,"1949,6",42124,"8424,8","105921,8","471788,8",-365867,"-3,454123703"
103,0,0,0,1,40915,"4091,5",21485,"2148,5",30240,6048,98880,338688,-239808,"-2,425242718"
104,4,0,1,0,44172,"4417,2",13017,"1301,7",37834,"7566,8","100741,9","23430,6","77311,3","0,7674195146"
105,6,0,1,0,33910,3391,37831,"3783,1",39298,"7859,6","118213,1","68095,8","50117,3","0,4239572433"
106,5,0,1,0,33901,"3390,1",31532,"3153,2",17958,"3591,6","89934,3","56757,6","33176,7","0,3688992965"
107,9,1,0,0,16076,"1607,6",42233,"4223,3",10272,"2054,4","74411,9","28936,8","45475,1","0,6111267149"
108,0,0,0,1,25527,"2552,7",32408,"3240,8",39770,7954,"103498,5",445424,"-341925,5","-3,303675899"
109,11,1,0,0,35179,"3517,9",40591,"4059,1",46496,"9299,2",129843,"63322,2","66520,8","0,5123171831"
110,12,1,0,0,38169,"3816,9",41270,4127,21050,4210,"108432,9","68704,2","39728,7","0,3663897212"
111,5,0,1,0,46495,"4649,5",14992,"1499,2",30235,6047,"97870,7","26985,6","70885,1","0,7242729438"
112,11,1,0,0,30803,"3080,3",32487,"3248,7",30277,"6055,4",99896,"55445,4","44450,6","0,4449687675"
113,0,0,0,1,11709,"1170,9",19484,"1948,4",18456,"3691,2","52768,3","206707,2","-153938,9","-2,917260931"
114,3,0,1,0,35957,"3595,7",28136,"2813,6",16121,"3224,2","86623,3","50644,8","35978,5","0,4153443704"
115,2,0,1,0,42533,"4253,3",22641,"2264,1",31486,"6297,2","103177,4","40753,8","62423,6","0,605012338"
116,4,0,1,0,37173,"3717,3",22588,"2258,8",21363,"4272,6","87100,1","40658,4","46441,7","0,5331991582"
117,8,1,0,0,47877,"4787,7",32637,"3263,7",25575,5115,"114140,4","86178,6","27961,8","0,2449772386"
118,12,1,0,0,42175,"4217,5",46162,"4616,2",16171,"3234,2","113341,7",75915,"37426,7","0,3302112109"
119,13,1,0,0,44004,"4400,4",30611,"3061,1",45694,"9138,8","127770,5","79207,2","48563,3","0,3800822569"
120,4,0,1,0,47483,"4748,3",31788,"3178,8",13600,2720,"100798,1","57218,4","43579,7","0,432346443"
121,7,0,1,0,15218,"1521,8",46010,4601,18027,"3605,4","85377,8",82818,"2559,8","0,0299820328"
122,6,0,1,0,19958,"1995,8",11690,1169,27076,"5415,2","61888,8",21042,"40846,8","0,6600031023"
123,13,1,0,0,23033,"2303,3",30276,"3027,6",22359,"4471,8","80998,9","41459,4","39539,5","0,4881486045"
124,0,0,0,1,42941,"4294,1",15295,"1529,5",26582,"5316,4","90641,6","297718,4","-207076,8","-2,28456691"
125,5,0,1,0,34727,"3472,7",25770,2577,28163,"5632,6","94709,7",46386,"48323,7","0,5102296808"
126,2,0,1,0,46040,4604,24565,"2456,5",49405,9881,"127070,5",44217,"82853,5","0,6520278113"
127,10,1,0,0,33785,"3378,5",43515,"4351,5",25706,"5141,2",110736,60813,49923,"0,4508289987"
128,13,1,0,0,15820,1582,48543,"4854,3",24914,"4982,8","95713,3",28476,"67237,3","0,7024864883"
129,2,0,1,0,26406,"2640,6",20421,"2042,1",41518,"8303,6","93027,7","36757,8","56269,9","0,6048725272"
130,11,1,0,0,17825,"1782,5",15928,"1592,8",34406,"6881,2","71534,3",32085,"39449,3","0,5514739083"
131,3,0,1,0,27457,"2745,7",43784,"4378,4",38253,"7650,6","116618,1","78811,2","37806,9","0,3241941002"
132,12,1,0,0,17275,"1727,5",44149,"4414,9",39981,"7996,2","107547,4",31095,"76452,4","0,7108716715"
133,5,0,1,0,38591,"3859,1",33327,"3332,7",10305,2061,"89414,8","59988,6","29426,2","0,3290976438"
134,10,1,0,0,45864,"4586,4",27647,"2764,7",25515,5103,"106377,1","82555,2","23821,9","0,2239382348"
135,6,0,1,0,19421,"1942,1",20045,"2004,5",21841,"4368,2","65253,6",36081,"29172,6","0,4470649895"
136,3,0,1,0,25388,"2538,8",39432,"3943,2",22770,4554,94072,"70977,6","23094,4","0,2454970661"
137,1,0,1,0,23594,"2359,4",22965,"2296,5",22405,4481,"73619,9",41337,"32282,9","0,4385077948"
138,14,1,0,0,16084,"1608,4",31571,"3157,1",22402,"4480,4","74822,5","28951,2","45871,3","0,6130682616"
139,5,0,1,0,45099,"4509,9",42095,"4209,5",41637,"8327,4","137550,4",75771,"61779,4","0,449140097"
140,5,0,1,0,19870,1987,26008,"2600,8",29335,5867,"79800,8","46814,4","32986,4","0,4133592646"
141,4,0,1,0,21639,"2163,9",26014,"2601,4",19164,"3832,8","71582,3","46825,2","24757,1","0,3458550508"
142,13,1,0,0,38091,"3809,1",11224,"1122,4",21505,4301,"75751,5","68563,8","7187,7","0,0948852498"
143,13,1,0,0,32175,"3217,5",39325,"3932,5",34583,"6916,6",113233,57915,55318,"0,4885324949"
144,10,1,0,0,22369,"2236,9",47978,"4797,8",37998,"7599,6","115379,7","40264,2","75115,5","0,6510287338"
145,6,0,1,0,11587,"1158,7",17525,"1752,5",36969,"7393,8","68992,2",31545,"37447,2","0,5427744006"
146,8,1,0,0,18932,"1893,2",14208,"1420,8",15151,"3030,2",51605,"34077,6","17527,4","0,3396453832"
147,13,1,0,0,28934,"2893,4",39691,"3969,1",41019,"8203,8","116506,5","52081,2","64425,3","0,5529760142"
148,9,1,0,0,25135,"2513,5",41534,"4153,4",26205,5241,"99540,9",45243,"54297,9","0,5454833139"
149,3,0,1,0,24875,"2487,5",22777,"2277,7",10386,"2077,2","62803,2","40998,6","21804,6","0,3471893152"
150,6,0,1,0,16238,"1623,8",40498,"4049,8",30763,"6152,6","93172,6","72896,4","20276,2","0,2176197723"
151,14,1,0,0,42010,4201,31600,3160,16662,"3332,4",97633,75618,22015,"0,225487284"
152,12,1,0,0,45818,"4581,8",26362,"2636,2",14971,"2994,2",94369,"82472,4","11896,6","0,1260647035"
153,13,1,0,0,18123,"1812,3",16992,"1699,2",38745,7749,"77371,5","32621,4","44750,1","0,5783796359"
154,9,1,0,0,10220,1022,39989,"3998,9",42355,8471,"97584,9",18396,"79188,9","0,811487228"
155,7,0,1,0,11560,1156,48701,"4870,1",21847,"4369,4","88134,1","87661,8","472,3","0,005358879253"
156,12,1,0,0,12481,"1248,1",27972,"2797,2",20135,4027,"64633,3","22465,8","42167,5","0,6524113731"
157,11,1,0,0,20289,"2028,9",11965,"1196,5",43437,"8687,4","78916,4","36520,2","42396,2","0,5372292705"
158,0,0,0,1,10982,"1098,2",32054,"3205,4",28388,"5677,6","75727,6","317945,6",-242218,"-3,1985432"
159,14,1,0,0,27852,"2785,2",15994,"1599,4",45945,9189,"94175,6","50133,6",44042,"0,4676582894"
160,4,0,1,0,40444,"4044,4",30160,3016,32212,"6442,4","109876,4",54288,"55588,4","0,5059175583"
161,11,1,0,0,11776,"1177,6",32759,"3275,9",49763,"9952,6","98751,5","21196,8","77554,7","0,7853521212"
162,13,1,0,0,25748,"2574,8",30539,"3053,9",23261,"4652,2","85176,7","46346,4","38830,3","0,4558793661"
163,12,1,0,0,10455,"1045,5",15460,1546,47043,"9408,6","75549,5",18819,"56730,5","0,7509050358"
164,12,1,0,0,31336,"3133,6",48080,4808,40385,8077,"127742,6","56404,8","71337,8","0,5584495697"
165,10,1,0,0,15814,"1581,4",32944,"3294,4",35030,7006,"88663,8","28465,2","60198,6","0,6789535301"
166,3,0,1,0,30008,"3000,8",19544,"1954,4",34095,6819,"88602,2","35179,2",53423,"0,6029534255"
167,12,1,0,0,49759,"4975,9",10303,"1030,3",10523,"2104,6","76591,2","89566,2",-12975,"-0,1694058847"
168,11,1,0,0,44836,"4483,6",34930,3493,41239,"8247,8","128981,6","80704,8","48276,8","0,3742921471"
169,14,1,0,0,26497,"2649,7",23500,2350,33717,"6743,4","88713,7","47694,6","41019,1","0,4623761606"
170,5,0,1,0,37278,"3727,8",38499,"3849,9",10147,"2029,4","93501,7","69298,2","24203,5","0,2588562561"
171,12,1,0,0,10199,"1019,9",29219,"2921,9",34820,6964,"78179,8","18358,2","59821,6","0,7651797523"
172,0,0,0,1,44791,"4479,1",29091,"2909,1",49123,"9824,6","130393,2","550177,6","-419784,4","-3,219373403"
173,10,1,0,0,23228,"2322,8",38321,"3832,1",20829,"4165,8","88532,9","41810,4","46722,5","0,5277416644"
174,0,0,0,1,44045,"4404,5",19440,1944,19114,"3822,8","88947,5","214076,8","-125129,3","-1,406777031"
175,10,1,0,0,15620,1562,35507,"3550,7",38682,"7736,4","94921,7",28116,"66805,7","0,7037979724"
176,10,1,0,0,44014,"4401,4",33530,3353,32567,"6513,4","117865,4","79225,2","38640,2","0,3278332742"
177,2,0,1,0,27923,"2792,3",28377,"2837,7",46236,"9247,2",108166,"51078,6","57087,4","0,527775826"
178,11,1,0,0,39679,"3967,9",15101,"1510,1",42727,"8545,4",102985,"71422,2","31562,8","0,3064795844"
179,1,0,1,0,39345,"3934,5",30615,"3061,5",11452,"2290,4",88408,55107,33301,"0,3766740566"
180,0,0,0,1,45795,"4579,5",35630,3563,39964,"7992,8","129531,5","447596,8","-318065,3","-2,455505418"
181,6,0,1,0,29167,"2916,7",46935,"4693,5",45564,"9112,8","129276,2",84483,"44793,2","0,3464922391"
182,3,0,1,0,15468,"1546,8",23281,"2328,1",33469,"6693,8","76092,9","41905,8","34187,1","0,4492810762"
183,7,0,1,0,45096,"4509,6",47644,"4764,4",36376,"7275,2",138390,"85759,2","52630,8","0,3803078257"
184,1,0,1,0,25238,"2523,8",43104,"4310,4",27770,5554,"102946,2","77587,2",25359,"0,2463325504"
185,12,1,0,0,26631,"2663,1",39846,"3984,6",27385,5477,"100509,7","47935,8","52573,9","0,5230728974"
186,13,1,0,0,22606,"2260,6",31187,"3118,7",34912,"6982,4","94084,3","40690,8","53393,5","0,5675070123"
187,1,0,1,0,49558,"4955,8",17610,1761,46641,"9328,2","120525,8",31698,"88827,8","0,737002368"
188,10,1,0,0,29798,"2979,8",30475,"3047,5",25771,"5154,2","92071,3","53636,4","38434,9","0,4174471306"
189,8,1,0,0,39402,"3940,2",27758,"2775,8",11728,"2345,6",85604,"70923,6","14680,4","0,1714919864"
190,9,1,0,0,15903,"1590,3",12807,"1280,7",20066,"4013,2",51647,"28625,4","23021,6","0,445749027"
191,1,0,1,0,23392,"2339,2",39706,"3970,6",24894,"4978,8","94301,8","71470,8",22831,"0,242105665"
192,7,0,1,0,25957,"2595,7",20607,"2060,7",26492,"5298,4","77712,4","37092,6","40619,8","0,522693933"
193,1,0,1,0,33478,"3347,8",21206,"2120,6",11597,"2319,4","71749,4","38170,8","33578,6","0,4679983387"
194,4,0,1,0,38114,"3811,4",13065,"1306,5",45328,"9065,6","101624,9",23517,"78107,9","0,7685901782"
195,10,1,0,0,34719,"3471,9",36521,"3652,1",49127,"9825,4",127491,"62494,2","64996,8","0,5098148105"
196,1,0,1,0,17737,"1773,7",47090,4709,49620,9924,"120929,7",84762,"36167,7","0,2990803748"
197,4,0,1,0,36538,"3653,8",44891,"4489,1",27007,"5401,4","116578,9","80803,8","35775,1","0,3068745716"
198,9,1,0,0,49213,"4921,3",24404,"2440,4",31988,"6397,6","112966,7","88583,4","24383,3","0,2158450234"
199,10,1,0,0,27582,"2758,2",46217,"4621,7",21355,4271,"102533,9","49647,6","52886,3","0,5157933132"
200,6,0,1,0,12820,1282,15809,"1580,9",47346,"9469,2","78837,9","28456,2","50381,7","0,6390543127"
201,14,1,0,0,22194,"2219,4",44061,"4406,1",20139,"4027,8","93019,5","39949,2","53070,3","0,5705287601"
202,10,1,0,0,25620,2562,24630,2463,12979,"2595,8",68254,46116,22138,"0,324347291"
203,9,1,0,0,37612,"3761,2",15795,"1579,5",10234,"2046,8","68981,7","67701,6","1280,1","0,01855709558"
204,11,1,0,0,13296,"1329,6",27815,"2781,5",42840,8568,"88062,1","23932,8","64129,3","0,7282281481"
205,0,0,0,1,21285,"2128,5",43768,"4376,8",40596,"8119,2","112154,3","454675,2","-342520,9","-3,054014871"
206,8,1,0,0,46277,"4627,7",19237,"1923,7",19390,3878,"91455,4","83298,6","8156,8","0,08918882865"
207,6,0,1,0,38092,"3809,2",33142,"3314,2",14695,2939,"93052,4","59655,6","33396,8","0,3589031556"
208,7,0,1,0,40651,"4065,1",20658,"2065,8",11574,"2314,8","79013,9","37184,4","41829,5","0,5293941952"
209,14,1,0,0,34376,"3437,6",10831,"1083,1",31315,6263,"81042,7","61876,8","19165,9","0,2364913805"
210,4,0,1,0,25625,"2562,5",17126,"1712,6",49494,"9898,8","96520,1","30826,8","65693,3","0,6806178195"
211,8,1,0,0,21871,"2187,1",30222,"3022,2",12970,2594,"70272,3","39367,8","30904,5","0,4397821048"
212,14,1,0,0,28324,"2832,4",31634,"3163,4",44038,"8807,6","109991,8","50983,2","59008,6","0,5364818105"
213,11,1,0,0,37467,"3746,7",28773,"2877,3",48563,"9712,6",121427,"67440,6","53986,4","0,444599636"
214,2,0,1,0,28001,"2800,1",45511,"4551,1",42427,"8485,4","123290,2","81919,8","41370,4","0,3355530285"
215,1,0,1,0,38020,3802,25787,"2578,7",39796,"7959,2","109983,7","46416,6","63567,1","0,5779683717"
216,4,0,1,0,30290,3029,23924,"2392,4",28401,"5680,2","88036,4","43063,2","44973,2","0,5108477857"
217,14,1,0,0,12044,"1204,4",37493,"3749,3",33533,"6706,6","88023,7","21679,2","66344,5","0,7537117844"
218,0,0,0,1,23579,"2357,9",17997,"1799,7",29319,"5863,8","75052,6","328372,8","-253320,2","-3,375235502"
219,0,0,0,1,36852,"3685,2",33187,"3318,7",14349,"2869,8","91391,9","160708,8","-69316,9","-0,7584578064"
220,3,0,1,0,40325,"4032,5",45419,"4541,9",22992,"4598,4","117310,4","81754,2","35556,2","0,3030950368"
221,13,1,0,0,10916,"1091,6",32391,"3239,1",38414,"7682,8","86051,7","19648,8","66402,9","0,7716628492"
222,9,1,0,0,42913,"4291,3",29238,"2923,8",16593,"3318,6","95959,1","77243,4","18715,7","0,1950383028"
223,8,1,0,0,12958,"1295,8",37343,"3734,3",42427,"8485,4","97758,1","23324,4","74433,7","0,7614069832"
224,2,0,1,0,34215,"3421,5",30023,"3002,3",10965,2193,"81626,8","54041,4","27585,4","0,3379453807"
225,11,1,0,0,32921,"3292,1",21684,"2168,4",16405,3281,"76470,5","59257,8","17212,7","0,2250894136"
226,1,0,1,0,35328,"3532,8",20185,"2018,5",29317,"5863,4","90381,3",36333,"54048,3","0,5980031268"
227,4,0,1,0,33050,3305,24673,"2467,3",18609,"3721,8","82104,3","44411,4","37692,9","0,4590855777"
228,1,0,1,0,35935,"3593,5",42563,"4256,3",43360,8672,"129707,8","76613,4","53094,4","0,4093385286"
229,7,0,1,0,42415,"4241,5",46057,"4605,7",13014,"2602,8","110333,2","82902,6","27430,6","0,2486160104"
230,13,1,0,0,15784,"1578,4",19942,"1994,2",26905,5381,"66203,6","28411,2","37792,4","0,570851132"
231,13,1,0,0,13951,"1395,1",10743,"1074,3",37640,7528,"64803,4","25111,8","39691,6","0,6124925544"
232,2,0,1,0,28843,"2884,3",10930,1093,41756,"8351,2","85506,3",19674,"65832,3","0,7699116907"
233,1,0,1,0,33570,3357,11346,"1134,6",45036,"9007,2","94443,6","20422,8","74020,8","0,7837566548"
234,12,1,0,0,15520,1552,43322,"4332,2",19127,"3825,4","83853,2",27936,"55917,2","0,6668463458"
235,5,0,1,0,15767,"1576,7",32630,3263,28951,"5790,2","82187,7",58734,"23453,7","0,2853675185"
236,10,1,0,0,24277,"2427,7",22900,2290,28059,"5611,8","79953,7","43698,6","36255,1","0,4534511849"
237,11,1,0,0,44840,4484,12871,"1287,1",44029,"8805,8","107511,1",80712,"26799,1","0,2492682151"
